USB2+H08074_1:101,laser on sample,laser off sample,no sample
278.158,283.35,257.46,310.12
278.611,217.82,292.57,251.61
279.064,250.58,259.8,317.14
279.517,323.14,325.33,260.97
279.97,311.44,273.84,237.56
280.423,295.05,320.65,258.63
280.876,358.25,273.84,310.12
281.329,297.39,306.61,223.52
281.782,309.1,231.71,314.8
282.235,241.22,159.16,225.86
282.687,334.84,264.48,230.54
283.14,351.23,315.97,249.27
283.593,309.1,311.29,335.87
284.045,292.71,280.86,265.65
284.498,255.26,269.16,251.61
284.95,325.48,269.16,293.74
285.403,348.89,292.57,300.76
285.855,325.48,304.27,333.53
286.308,360.59,304.27,326.5
286.76,311.44,360.44,256.29
287.213,330.16,283.2,246.93
287.665,255.26,283.2,200.12
288.117,278.67,273.84,298.42
288.57,299.73,266.82,246.93
289.022,306.76,273.84,310.12
289.474,257.61,271.5,249.27
289.926,348.89,386.19,277.35
290.378,288.03,257.46,296.08
290.83,362.93,301.93,317.14
291.282,276.33,313.63,188.41
291.734,339.52,250.44,354.59
292.186,323.14,294.91,328.85
292.638,316.12,278.52,324.16
293.09,271.65,252.78,296.08
293.542,290.37,294.91,352.25
293.994,341.86,262.14,235.22
294.446,290.37,344.06,275.01
294.897,334.84,351.08,326.5
295.349,283.35,264.48,324.16
295.801,285.69,259.8,282.03
296.252,283.35,311.29,312.46
296.704,266.97,301.93,267.99
297.156,299.73,283.2,289.06
297.607,320.8,255.12,300.76
298.059,304.42,264.48,218.84
298.51,353.57,264.48,347.57
298.961,302.08,283.2,267.99
299.413,285.69,285.55,270.33
299.864,320.8,259.8,239.9
300.315,309.1,344.06,286.72
300.767,358.25,273.84,232.88
301.218,180.37,278.52,230.54
301.669,269.31,344.06,324.16
302.12,222.5,217.67,284.38
302.571,241.22,273.84,317.14
303.022,311.44,287.89,333.53
303.473,288.03,266.82,284.38
303.924,297.39,243.42,267.99
304.375,320.8,208.31,256.29
304.826,264.63,257.46,296.08
305.277,290.37,299.59,300.76
305.728,276.33,315.97,260.97
306.179,341.86,269.16,300.76
306.629,339.52,315.97,284.38
307.08,337.18,315.97,286.72
307.531,320.8,355.76,286.72
307.982,269.31,395.55,253.95
308.432,248.24,344.06,270.33
308.883,273.99,278.52,307.78
309.333,309.1,311.29,267.99
309.784,283.35,285.55,267.99
310.234,245.9,318.31,253.95
310.685,346.55,264.48,246.93
311.135,252.92,287.89,225.86
311.585,309.1,287.89,321.82
312.036,334.84,266.82,272.67
312.486,339.52,339.38,300.76
312.936,264.63,322.99,289.06
313.386,311.44,348.74,256.29
313.837,372.29,297.25,298.42
314.287,295.05,236.39,258.63
314.737,266.97,369.8,251.61
315.187,292.71,346.4,307.78
315.637,292.71,280.86,310.12
316.087,285.69,285.55,265.65
316.537,341.86,294.91,282.03
316.987,367.61,273.84,289.06
317.436,334.84,234.05,314.8
317.886,369.95,355.76,296.08
318.336,266.97,236.39,235.22
318.786,290.37,290.23,230.54
319.235,339.52,325.33,296.08
319.685,306.76,301.93,317.14
320.135,318.46,236.39,275.01
320.584,252.92,325.33,267.99
321.034,316.12,301.93,237.56
321.483,334.84,381.51,263.31
321.933,313.78,334.7,251.61
322.382,278.67,311.29,282.03
322.832,318.46,290.23,293.74
323.281,330.16,311.29,413.1
323.73,320.8,341.72,331.19
324.18,323.14,299.59,392.04
324.629,353.57,306.61,221.18
325.078,306.76,322.99,272.67
